url,country,code,type
https://charts.youtube.com/charts/TrendingVideos/ar,Argentina,ar,Trending Videos
https://charts.youtube.com/charts/TopSongs/ar,Argentina,ar,Top Songs
https://charts.youtube.com/charts/TopVideos/ar,Argentina,ar,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ar,Argentina,ar,Top Artists
https://charts.youtube.com/charts/TrendingVideos/au,Australia,au,Trending Videos
https://charts.youtube.com/charts/TopSongs/au,Australia,au,Top Songs
https://charts.youtube.com/charts/TopVideos/au,Australia,au,Top Music Videos
https://charts.youtube.com/charts/TopArtists/au,Australia,au,Top Artists
https://charts.youtube.com/charts/TrendingVideos/at,Austria,at,Trending Videos
https://charts.youtube.com/charts/TopSongs/at,Austria,at,Top Songs
https://charts.youtube.com/charts/TopVideos/at,Austria,at,Top Music Videos
https://charts.youtube.com/charts/TopArtists/at,Austria,at,Top Artists
https://charts.youtube.com/charts/TrendingVideos/be,Belgium,be,Trending Videos
https://charts.youtube.com/charts/TopSongs/be,Belgium,be,Top Songs
https://charts.youtube.com/charts/TopVideos/be,Belgium,be,Top Music Videos
https://charts.youtube.com/charts/TopArtists/be,Belgium,be,Top Artists
https://charts.youtube.com/charts/TrendingVideos/br,Brazil,br,Trending Videos
https://charts.youtube.com/charts/TopSongs/br,Brazil,br,Top Songs
https://charts.youtube.com/charts/TopVideos/br,Brazil,br,Top Music Videos
https://charts.youtube.com/charts/TopArtists/br,Brazil,br,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ca,Canada,ca,Trending Videos
https://charts.youtube.com/charts/TopSongs/ca,Canada,ca,Top Songs
https://charts.youtube.com/charts/TopVideos/ca,Canada,ca,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ca,Canada,ca,Top Artists
https://charts.youtube.com/charts/TrendingVideos/cl,Chile,cl,Trending Videos
https://charts.youtube.com/charts/TopSongs/cl,Chile,cl,Top Songs
https://charts.youtube.com/charts/TopVideos/cl,Chile,cl,Top Music Videos
https://charts.youtube.com/charts/TopArtists/cl,Chile,cl,Top Artists
https://charts.youtube.com/charts/TrendingVideos/co,Colombia,co,Trending Videos
https://charts.youtube.com/charts/TopSongs/co,Colombia,co,Top Songs
https://charts.youtube.com/charts/TopVideos/co,Colombia,co,Top Music Videos
https://charts.youtube.com/charts/TopArtists/co,Colombia,co,Top Artists
https://charts.youtube.com/charts/TrendingVideos/cz,Czechia,cz,Trending Videos
https://charts.youtube.com/charts/TopSongs/cz,Czechia,cz,Top Songs
https://charts.youtube.com/charts/TopVideos/cz,Czechia,cz,Top Music Videos
https://charts.youtube.com/charts/TopArtists/cz,Czechia,cz,Top Artists
https://charts.youtube.com/charts/TrendingVideos/dk,Denmark,dk,Trending Videos
https://charts.youtube.com/charts/TopSongs/dk,Denmark,dk,Top Songs
https://charts.youtube.com/charts/TopVideos/dk,Denmark,dk,Top Music Videos
https://charts.youtube.com/charts/TopArtists/dk,Denmark,dk,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ee,Estonia,ee,Trending Videos
https://charts.youtube.com/charts/TopSongs/ee,Estonia,ee,Top Songs
https://charts.youtube.com/charts/TopVideos/ee,Estonia,ee,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ee,Estonia,ee,Top Artists
https://charts.youtube.com/charts/TrendingVideos/fi,Finland,fi,Trending Videos
https://charts.youtube.com/charts/TopSongs/fi,Finland,fi,Top Songs
https://charts.youtube.com/charts/TopVideos/fi,Finland,fi,Top Music Videos
https://charts.youtube.com/charts/TopArtists/fi,Finland,fi,Top Artists
https://charts.youtube.com/charts/TrendingVideos/fr,France,fr,Trending Videos
https://charts.youtube.com/charts/TopSongs/fr,France,fr,Top Songs
https://charts.youtube.com/charts/TopVideos/fr,France,fr,Top Music Videos
https://charts.youtube.com/charts/TopArtists/fr,France,fr,Top Artists
https://charts.youtube.com/charts/TrendingVideos/de,Germany,de,Trending Videos
https://charts.youtube.com/charts/TopSongs/de,Germany,de,Top Songs
https://charts.youtube.com/charts/TopVideos/de,Germany,de,Top Music Videos
https://charts.youtube.com/charts/TopArtists/de,Germany,de,Top Artists
https://charts.youtube.com/charts/TrendingVideos/is,Iceland,is,Trending Videos
https://charts.youtube.com/charts/TopSongs/is,Iceland,is,Top Songs
https://charts.youtube.com/charts/TopVideos/is,Iceland,is,Top Music Videos
https://charts.youtube.com/charts/TopArtists/is,Iceland,is,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ie,Ireland,ie,Trending Videos
https://charts.youtube.com/charts/TopSongs/ie,Ireland,ie,Top Songs
https://charts.youtube.com/charts/TopVideos/ie,Ireland,ie,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ie,Ireland,ie,Top Artists
https://charts.youtube.com/charts/TrendingVideos/it,Italy,it,Trending Videos
https://charts.youtube.com/charts/TopSongs/it,Italy,it,Top Songs
https://charts.youtube.com/charts/TopVideos/it,Italy,it,Top Music Videos
https://charts.youtube.com/charts/TopArtists/it,Italy,it,Top Artists
https://charts.youtube.com/charts/TrendingVideos/jp,Japan,jp,Trending Videos
https://charts.youtube.com/charts/TopSongs/jp,Japan,jp,Top Songs
https://charts.youtube.com/charts/TopVideos/jp,Japan,jp,Top Music Videos
https://charts.youtube.com/charts/TopArtists/jp,Japan,jp,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ke,Kenya,ke,Trending Videos
https://charts.youtube.com/charts/TopSongs/ke,Kenya,ke,Top Songs
https://charts.youtube.com/charts/TopVideos/ke,Kenya,ke,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ke,Kenya,ke,Top Artists
https://charts.youtube.com/charts/TrendingVideos/lu,Luxembourg,lu,Trending Videos
https://charts.youtube.com/charts/TopSongs/lu,Luxembourg,lu,Top Songs
https://charts.youtube.com/charts/TopVideos/lu,Luxembourg,lu,Top Music Videos
https://charts.youtube.com/charts/TopArtists/lu,Luxembourg,lu,Top Artists
https://charts.youtube.com/charts/TrendingVideos/mx,Mexico,mx,Trending Videos
https://charts.youtube.com/charts/TopSongs/mx,Mexico,mx,Top Songs
https://charts.youtube.com/charts/TopVideos/mx,Mexico,mx,Top Music Videos
https://charts.youtube.com/charts/TopArtists/mx,Mexico,mx,Top Artists
https://charts.youtube.com/charts/TrendingVideos/nl,Netherlands,nl,Trending Videos
https://charts.youtube.com/charts/TopSongs/nl,Netherlands,nl,Top Songs
https://charts.youtube.com/charts/TopVideos/nl,Netherlands,nl,Top Music Videos
https://charts.youtube.com/charts/TopArtists/nl,Netherlands,nl,Top Artists
https://charts.youtube.com/charts/TrendingVideos/nz,New Zealand,nz,Trending Videos
https://charts.youtube.com/charts/TopSongs/nz,New Zealand,nz,Top Songs
https://charts.youtube.com/charts/TopVideos/nz,New Zealand,nz,Top Music Videos
